"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"H1,H2,H3,H4","4","MountingHole","","從 BOM 中移除","","MountingHole:MountingHole_4mm","~"
"J1","1","CAN2_IN","","","","Connector:643260100405","~"
"J2","1","CAN2_1","","","","Connector:643260100405","~"
"J3","1","CAN2_2","","","","Connector:643260100405","~"
"J4","1","CAN2_3","","","","Connector:643260100405","~"
"J5","1","CAN2_4","","","","Connector:643260100405","~"
"J6","1","CAN2_5","","","","Connector:643260100405","~"
"J7","1","CAN2_6","","","","Connector:643260100405","~"
"J8","1","CAN2_7","","","","Connector:643260100405","~"
"J9","1","CAN2_8","","","","Connector:643260100405","~"
"J10","1","CAN2_9","","","","Connector:643260100405","~"
"J11","1","CAN2_10","","","","Connector:643260100405","~"
"J12","1","CAN2_11","","","","Connector:643260100405","~"
"J13","1","CAN2_12","","","","Connector:643260100405","~"
"J14","1","CAN2_VIN","","","","Connector:643260100405","~"
